room_type_Entire home/apt,neighbourhood_group_cleansed_Manhattan,accommodates,bathroom_type_baths,bedrooms,bathroom_type_shared,bedrooms_per_accommodates,review_scores_location,gym,room_type_Private room,Predicted_Price,price,Error
0.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,1.0,1.0,176.5711664273959,95.0,-81.5711664273959
1.0,1.0,3.0,0.0,2.0,0.0,0.6666666666666666,4.25,1.0,0.0,135.66235437086692,110.0,-25.66235437086692
0.0,0.0,4.0,1.0,1.0,0.0,0.25,4.57,0.0,1.0,101.87607552503772,110.0,8.12392447496228
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0,164.236133755011,105.0,-59.236133755011
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.98,0.0,1.0,89.92027560013364,85.0,-4.920275600133635
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.4,0.0,0.0,99.34141985563834,80.0,-19.341419855638335
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.76,0.0,1.0,114.180769065714,88.0,-26.180769065714003
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,69.62128528195267,99.0,29.378714718047334
0.0,1.0,2.0,0.0,1.0,1.0,0.5,5.0,0.0,1.0,85.98042567550657,85.0,-0.9804256755065666
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.65,0.0,0.0,101.46161932879893,183.0,81.53838067120107
1.0,1.0,4.0,1.0,3.0,0.0,0.75,4.98,0.0,0.0,409.0059488540623,575.0,165.9940511459377
1.0,0.0,5.0,1.0,4.0,0.0,0.8,4.77,0.0,0.0,209.23088202988504,220.0,10.769117970114962
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.79,0.0,0.0,117.6508786424913,83.0,-34.65087864249131
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.65,1.0,1.0,95.19319160625463,100.0,4.806808393745371
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.83,0.0,1.0,79.87735768458762,69.0,-10.877357684587622
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.89,0.0,0.0,125.06528257594954,90.0,-35.06528257594954
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.87,0.0,0.0,337.5781034189437,225.0,-112.57810341894373
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,4.64,0.0,0.0,140.83362034996952,170.0,29.16637965003048
1.0,1.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.79,0.0,0.0,121.63586474249585,100.0,-21.635864742495855
0.0,0.0,2.0,0.0,2.0,1.0,1.0,4.67,0.0,1.0,75.31286284274948,75.0,-0.31286284274948173
1.0,1.0,4.0,0.0,1.0,0.0,0.25,4.94,0.0,0.0,185.88271563618798,150.0,-35.88271563618798
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.38,0.0,1.0,49.88211407406646,80.0,30.117885925933543
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.83,0.0,1.0,60.467986782906934,89.0,28.532013217093066
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.89,0.0,0.0,162.82735343836464,165.0,2.1726465616353607
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,69.62128528195267,130.0,60.378714718047334
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0,140.61238724190332,120.0,-20.61238724190332
0.0,0.0,2.0,0.0,3.0,1.0,1.5,4.33,0.0,1.0,76.27481210472637,80.0,3.725187895273635
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.72,0.0,1.0,68.90339471798205,90.0,21.096605282017947
0.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,4.83,0.0,1.0,75.23302048263442,139.0,63.766979517365584
1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,133.56180075057833,160.0,26.43819924942167
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.96,0.0,0.0,142.38408479138945,195.0,52.615915208610545
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0,156.85914668056722,139.0,-17.85914668056722
1.0,0.0,4.0,0.0,2.0,0.0,0.5,3.67,0.0,0.0,138.8960559862187,121.0,-17.8960559862187
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.35,0.0,1.0,93.01086571884018,69.0,-24.01086571884018
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0,182.35897324320578,175.0,-7.3589732432057815
1.0,0.0,7.0,1.0,5.0,0.0,0.7142857142857143,4.89,0.0,0.0,683.8286636919921,675.0,-8.82866369199212
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.85,0.0,1.0,64.3134109732137,75.0,10.686589026786294
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,1.0,147.7093670818339,139.0,-8.709367081833904
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,1.0,1.0,149.9654995517875,106.0,-43.9654995517875
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.73,0.0,1.0,45.28431265233711,78.0,32.71568734766289
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.38,0.0,0.0,112.25366093100399,135.0,22.746339068996008
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.61,0.0,0.0,265.6906924599528,550.0,284.3093075400472
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.56,0.0,0.0,99.55165085509614,175.0,75.44834914490386
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.52,0.0,1.0,55.260450790521475,70.0,14.739549209478525
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0,156.85914668056722,110.0,-46.85914668056722
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,5.0,0.0,0.0,175.107786436371,250.0,74.89221356362901
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.83,0.0,1.0,71.80918665824429,110.0,38.190813341755714
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0,182.35897324320578,194.0,11.641026756794218
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.19,0.0,1.0,69.02228147873547,116.0,46.977718521264535
1.0,0.0,2.0,0.0,5.0,0.0,2.5,4.53,0.0,0.0,91.92126663488057,98.0,6.078733365119433
1.0,1.0,4.0,0.0,2.0,0.0,0.5,4.44,0.0,0.0,155.64018755016824,100.0,-55.640187550168235
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.97,0.0,1.0,76.84290658787826,61.0,-15.842906587878261
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.9,0.0,1.0,119.81862428342231,75.0,-44.81862428342231
1.0,0.0,7.0,1.0,5.0,0.0,0.7142857142857143,4.82,0.0,0.0,637.581279060643,395.0,-242.58127906064306
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.7494104477611945,0.0,1.0,41.83263723154611,60.0,18.16736276845389
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.88,0.0,1.0,84.97918924423229,75.0,-9.979189244232288
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.77,0.0,1.0,55.598209875426406,120.0,64.4017901245736
0.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,4.24,0.0,1.0,72.82893671619154,90.0,17.171063283808465
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.89,0.0,0.0,134.04661127021063,154.0,19.953388729789367
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0,82.16924794222453,130.0,47.83075205777547
0.0,0.0,2.0,0.0,1.0,1.0,0.5,3.88,0.0,1.0,54.07658488117963,65.0,10.923415118820373
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.95,0.0,0.0,177.54088049417678,126.0,-51.540880494176776
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.44,0.0,0.0,107.91715472821397,107.0,-0.9171547282139727
1.0,0.0,7.0,0.0,2.0,0.0,0.2857142857142857,4.25,0.0,0.0,156.3647215926961,186.0,29.6352784073039
1.0,0.0,7.0,1.0,4.0,0.0,0.5714285714285714,4.69,0.0,0.0,283.855887617478,350.0,66.144112382522
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.7494104477611945,1.0,1.0,171.9816527582859,200.0,28.01834724171411
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.95,0.0,1.0,72.73426993097597,80.0,7.2657300690240305
0.0,0.0,2.0,0.0,1.0,1.0,0.5,3.91,0.0,1.0,52.128705230051665,65.0,12.871294769948335
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.48,0.0,1.0,95.19712103942142,100.0,4.802878960578582
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.85,0.0,1.0,53.624084880518154,85.0,31.375915119481846
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.49,0.0,1.0,61.074865138530875,76.0,14.925134861469125
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.92,0.0,0.0,130.72337160500513,149.0,18.276628394994873
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.89,1.0,0.0,153.94475272227479,164.0,10.055247277725215
1.0,1.0,4.0,0.0,1.0,0.0,0.25,4.88,0.0,0.0,173.40063083347255,250.0,76.59936916652745
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0,176.36446308347044,305.0,128.63553691652956
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.58,0.0,0.0,128.03482578068724,160.0,31.965174219312757
0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,69.62128528195267,60.0,-9.621285281952666
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.65,0.0,1.0,82.38467848458643,53.0,-29.38467848458643
0.0,0.0,4.0,0.0,2.0,0.0,0.5,4.84,0.0,1.0,138.06289354933114,139.0,0.937106450668864
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.69,0.0,0.0,133.64299700958742,180.0,46.35700299041258
1.0,0.0,7.0,0.0,3.0,0.0,0.42857142857142855,5.0,0.0,0.0,232.30528564122216,188.0,-44.305285641222156
1.0,1.0,5.0,0.0,2.0,0.0,0.4,4.69,0.0,0.0,171.51278796894968,275.0,103.48721203105032
1.0,1.0,6.0,0.0,3.0,0.0,0.5,4.5,0.0,0.0,248.11607391064607,500.0,251.88392608935393
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.85,0.0,0.0,147.75295133799114,195.0,47.247048662008865
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,5.0,0.0,0.0,171.6490268331923,250.0,78.3509731668077
0.0,1.0,2.0,1.0,1.0,0.0,0.5,4.45,0.0,1.0,60.35931652934028,111.0,50.64068347065972
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,0.0,1.0,106.42041283808405,125.0,18.579587161915953
1.0,1.0,6.0,0.0,1.0,0.0,0.16666666666666666,4.83,0.0,0.0,149.75447948341267,86.0,-63.754479483412666
1.0,1.0,6.0,0.0,3.0,0.0,0.5,5.0,0.0,0.0,264.51989779943153,211.0,-53.51989779943153
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.84,0.0,0.0,157.69157860334553,110.0,-47.69157860334553
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.98,0.0,0.0,182.35897324320578,130.0,-52.35897324320578
1.0,1.0,3.0,0.0,5.0,0.0,1.6666666666666667,4.75,0.0,0.0,117.44306365733456,175.0,57.55693634266544
1.0,0.0,4.0,1.0,2.0,0.0,0.5,4.85,0.0,0.0,227.58262171635113,285.0,57.41737828364887
0.0,0.0,3.0,0.0,1.0,1.0,0.3333333333333333,4.7494104477611945,0.0,1.0,67.22296597422607,89.0,21.77703402577393
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.71,0.0,0.0,101.77788618573727,102.0,0.2221138142627268
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.23,0.0,0.0,93.4438594393195,135.0,41.556140560680504
1.0,1.0,4.0,1.0,2.0,0.0,0.5,4.64,0.0,0.0,270.1906467165363,390.0,119.80935328346368
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.67,0.0,1.0,46.93097900284534,54.0,7.069020997154659
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.7494104477611945,0.0,0.0,166.84287173689893,200.0,33.15712826310107
0.0,0.0,2.0,0.0,1.0,1.0,0.5,4.41,0.0,1.0,55.653627644119766,100.0,44.346372355880234
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.4,0.0,1.0,66.0050214509368,75.0,8.994978549063205
0.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.51,0.0,1.0,72.32039947880372,60.0,-12.320399478803722
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.81,0.0,1.0,76.85130310506712,60.0,-16.851303105067117
0.0,0.0,3.0,1.0,2.0,0.0,0.6666666666666666,4.37,0.0,1.0,86.23709044460142,75.0,-11.23709044460142
1.0,1.0,7.0,0.0,2.0,0.0,0.2857142857142857,5.0,0.0,0.0,254.2471205976907,285.0,30.752879402309304
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.79,0.0,0.0,112.44996571231047,85.0,-27.449965712310473
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.66,0.0,0.0,96.22269664897622,102.0,5.777303351023775
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.8,1.0,1.0,85.0514843503689,75.0,-10.051484350368895
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.97,0.0,0.0,186.67506392191422,190.0,3.324936078085784
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0,140.61238724190332,399.0,258.3876127580967
1.0,1.0,7.0,0.0,2.0,0.0,0.2857142857142857,4.92,0.0,0.0,232.04338989449718,256.0,23.95661010550282
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.97,1.0,0.0,174.5286857315767,150.0,-24.5286857315767
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.96,0.0,0.0,144.21529599607913,200.0,55.784704003920865
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.68,1.0,0.0,228.77469757821527,115.0,-113.77469757821527
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.93,0.0,0.0,142.20824724569488,107.0,-35.20824724569488
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.67,0.0,1.0,74.03766658137702,122.0,47.962333418622976
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0,62.44431508740753,55.0,-7.4443150874075315
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0,176.36446308347044,215.0,38.63553691652956
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.86,0.0,1.0,72.38788289510113,100.0,27.61211710489887
1.0,1.0,6.0,0.0,3.0,0.0,0.5,4.78,0.0,0.0,257.2965321703679,596.0,338.7034678296321
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.96,0.0,0.0,168.83708262617893,160.0,-8.837082626178926
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.78,0.0,0.0,144.30510415713852,142.0,-2.3051041571385156
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.95,0.0,0.0,167.1011256246751,200.0,32.89887437532491
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.84,0.0,0.0,127.4029449559676,229.0,101.5970550440324
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.77,0.0,0.0,112.33524381395819,90.0,-22.335243813958186
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.97,0.0,0.0,176.36446308347044,110.0,-66.36446308347044
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.85,0.0,1.0,60.71162704951906,85.0,24.28837295048094
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.9,0.0,0.0,125.34411016592836,129.0,3.655889834071644
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.09,0.0,0.0,125.12342407569501,80.0,-45.12342407569501
